VEND;CNPJ;CLIENTE;DIA;TIPO;LATITUDE;LONGITUDE
aurea;1,57E+13;IMPERADOR SOLUCOES COME;05/05/2026;MANUTENCAO;-1,4461;-48,4856
aurea;4,37E+12;IND DE SORVETES ALBA LT;08/05/2026;MANUTENCAO;-1,3965278;-48,4560186
aurea;1,87E+13;INSTITUTO DE PATOLOGIA;05/05/2026;MANUTENCAO;-1,4412671;-48,49246144
aurea;3,20E+13;J DA SILVA ROSA EIRELI;20/05/2026;MANUTENCAO;-1,4521568;-48,5021966
aurea;1,38E+13;JURUNENSE HOME CENTER L;04/05/2026;MANUTENCAO;-1,3805705;-48,3985754
aurea;2,27E+13;JUTAI COMERCIAL DE MAQU;07/05/2026;MANUTENCAO;-1,4578246;-48,5047778
aurea;8,79E+12;LC2 COMERCIO LTDA;13/05/2026;MANUTENCAO;-1,4403997;-48,4879116
aurea;4,82E+12;LOURENCO AUGUSTO SILVA;05/05/2026;MANUTENCAO;-1,4438378;-48,4916319
aurea;1,96E+12;M EAMP W COMERCIO SERVI;12/05/2026;MANUTENCAO;-1,3494228;-48,4191805
aurea;5,12E+13;M J M DIAS COMERCIO DE;21/05/2026;MANUTENCAO;-1,4553747;-48,4855787
aurea;2,79E+13;MARIA DA GLORIA M GLINS;21/05/2026;MANUTENCAO;-1,4564881;-48,4726299
aurea;3,47E+13;MARIA FRANCINETE TAPAJO;22/05/2026;MANUTENCAO;-1,4315937;-48,4829205
aurea;1,93E+13;MED E ODONTO SOLUCOES L;04/05/2026;MANUTENCAO;-1,3656;-48,3754
aurea;3,49E+13;MIGUEL C REGO-ME;06/05/2026;MANUTENCAO;-1,454533;-48,4983751
aurea;5,25E+12;MONTEIRO E RODRIGUES CO;20/05/2026;MANUTENCAO;-1,4495557;-48,4961069
aurea;3,43E+12;MORAES LOBATO LTDA ME;06/05/2026;MANUTENCAO;-1,4539462;-48,499415
aurea;3,48E+13;NOBRE & NEVES LTDA;20/05/2026;MANUTENCAO;-1,4577748;-48,4945941
aurea;2,62E+13;NORTE CACA E PESCA LTDA;20/05/2026;MANUTENCAO;-1,4529963;-48,5035937
aurea;3,36E+13;NOVAMED PRODUTOS PARA S;21/05/2026;MANUTENCAO;-1,2932697;-47,937987
